territorio,escenario,indicador,valor
CAUCA,Mayo 2026 - Primera vuelta,Potencial,1075975
CAUCA,Junio 2026 - Segunda vuelta proyectada,Potencial,1075975
CAUCA,Mayo 2026 - Primera vuelta,Sufragantes,696829
CAUCA,Junio 2026 - Segunda vuelta proyectada,Sufragantes,624909
CAUCA,Mayo 2026 - Primera vuelta,Votos válidos,677203
CAUCA,Junio 2026 - Segunda vuelta proyectada,Votos válidos,617007
CAUCA,Mayo 2026 - Primera vuelta,Votos por candidatos,660770
CAUCA,Junio 2026 - Segunda vuelta proyectada,Votos por candidatos,596903
CAUCA,Mayo 2026 - Primera vuelta,Voto en blanco,16433
CAUCA,Junio 2026 - Segunda vuelta proyectada,Voto en blanco,20104
CAUCA,Mayo 2026 - Primera vuelta,Votos nulos,15568
CAUCA,Junio 2026 - Segunda vuelta proyectada,Votos nulos,5649
CAUCA,Mayo 2026 - Primera vuelta,Votos no marcados,4058
CAUCA,Junio 2026 - Segunda vuelta proyectada,Votos no marcados,2253
CESAR,Mayo 2026 - Primera vuelta,Potencial,929139
CESAR,Junio 2026 - Segunda vuelta proyectada,Potencial,929139
CESAR,Mayo 2026 - Primera vuelta,Sufragantes,488601
CESAR,Junio 2026 - Segunda vuelta proyectada,Sufragantes,518253
CESAR,Mayo 2026 - Primera vuelta,Votos válidos,482856
CESAR,Junio 2026 - Segunda vuelta proyectada,Votos válidos,511084
CESAR,Mayo 2026 - Primera vuelta,Votos por candidatos,475751
CESAR,Junio 2026 - Segunda vuelta proyectada,Votos por candidatos,498904
CESAR,Mayo 2026 - Primera vuelta,Voto en blanco,7105
CESAR,Junio 2026 - Segunda vuelta proyectada,Voto en blanco,12180
CESAR,Mayo 2026 - Primera vuelta,Votos nulos,4679
CESAR,Junio 2026 - Segunda vuelta proyectada,Votos nulos,5967
CESAR,Mayo 2026 - Primera vuelta,Votos no marcados,1066
CESAR,Junio 2026 - Segunda vuelta proyectada,Votos no marcados,1202
CHOCO,Mayo 2026 - Primera vuelta,Potencial,361794
CHOCO,Junio 2026 - Segunda vuelta proyectada,Potencial,361794
CHOCO,Mayo 2026 - Primera vuelta,Sufragantes,147256
CHOCO,Junio 2026 - Segunda vuelta proyectada,Sufragantes,169400
CHOCO,Mayo 2026 - Primera vuelta,Votos válidos,144225
CHOCO,Junio 2026 - Segunda vuelta proyectada,Votos válidos,164071
CHOCO,Mayo 2026 - Primera vuelta,Votos por candidatos,141964
CHOCO,Junio 2026 - Segunda vuelta proyectada,Votos por candidatos,160846
CHOCO,Mayo 2026 - Primera vuelta,Voto en blanco,2261
CHOCO,Junio 2026 - Segunda vuelta proyectada,Voto en blanco,3225
CHOCO,Mayo 2026 - Primera vuelta,Votos nulos,2451
CHOCO,Junio 2026 - Segunda vuelta proyectada,Votos nulos,4224
CHOCO,Mayo 2026 - Primera vuelta,Votos no marcados,580
CHOCO,Junio 2026 - Segunda vuelta proyectada,Votos no marcados,1105
CONSULADOS,Mayo 2026 - Primera vuelta,Potencial,1414661
