departamento,partido,candidato,votos,codigo_candidato,nombre_candidato,tipo_registro,estado_primera_vuelta,bloque_referencia_2v,departamento_nombre,municipios,puestos,mesas,total_votos_mmv,votos_validos,pct_validos,pct_total_mmv,abstencion_estimada_depto,potencial
88,0,997,1011,997,VOTO NULO,VOTO_NULO,NO_APLICA,INDEFINIDO,CONSULADOS,67,142,2181,589829,588573,,0.0017140561077871,824832,1414661
88,0,998,245,998,NO MARCADOS,NO_MARCADO,NO_APLICA,INDEFINIDO,CONSULADOS,67,142,2181,589829,588573,,0.000415374625527,824832,1414661
88,9,11,54549,11,PALOMA VALENCIA,CANDIDATO,ELIMINADO,ABELARDO,CONSULADOS,67,142,2181,589829,588573,0.0926800923589767,0.0924827365219411,824832,1414661
88,15,12,31666,12,SERGIO FAJARDO,CANDIDATO,ELIMINADO,DIVIDIDO,CONSULADOS,67,142,2181,589829,588573,0.0538013126663982,0.0536867464977137,824832,1414661
88,20,6,349,6,MIGUEL URIBE,CANDIDATO,ELIMINADO,ABELARDO,CONSULADOS,67,142,2181,589829,588573,0.000592959581904,0.0005916969155467,824832,1414661
88,21,10,85,10,GUSTAVO MATAMORROS,CANDIDATO,ELIMINADO,INCIERTO,CONSULADOS,67,142,2181,589829,588573,0.0001444170901485,0.0001441095639583,824832,1414661
88,22,8,171,8,ROY BARRERAS,CANDIDATO,ELIMINADO,CEPEDA,CONSULADOS,67,142,2181,589829,588573,0.000290533204887,0.0002899145345515,824832,1414661
88,26,1,167526,1,IVAN CEPEDA,CANDIDATO,PASA_A_SEGUNDA,CEPEDA,CONSULADOS,67,142,2181,589829,588573,0.2846307934614737,0.2840246919022293,824832,1414661
88,1001,3,2328,3,SANTIAGO BOTERO,CANDIDATO,ELIMINADO,INCIERTO,CONSULADOS,67,142,2181,589829,588573,0.0039553292454801,0.0039469066458244,824832,1414661
88,1002,7,352,7,SONDRA MACOLLINS,CANDIDATO,ELIMINADO,INCIERTO,CONSULADOS,67,142,2181,589829,588573,0.0005980566556739,0.0005967831354511,824832,1414661
88,1003,4,319988,4,ABELARDO DE LA ESPRIELLA,CANDIDATO,PASA_A_SEGUNDA,ABELARDO,CONSULADOS,67,142,2181,589829,588573,0.5436674804994452,0.5425097782577663,824832,1414661
88,1004,2,6286,2,CLAUDIA LOPEZ,CANDIDATO,ELIMINADO,CEPEDA,CONSULADOS,67,142,2181,589829,588573,0.0106800685726324,0.0106573261063799,824832,1414661
88,1005,13,252,13,LUIS GILBERTO MURILLO,CANDIDATO,ELIMINADO,CEPEDA,CONSULADOS,67,142,2181,589829,588573,0.0004281541966756,0.0004272424719706,824832,1414661
88,1006,9,171,9,CARLOS CAICEDO,CANDIDATO,ELIMINADO,CEPEDA,CONSULADOS,67,142,2181,589829,588573,0.000290533204887,0.0002899145345515,824832,1414661
88,3001,5,321,5,MAURICIO LIZCANO,CANDIDATO,ELIMINADO,CEPEDA,CONSULADOS,67,142,2181,589829,588573,0.0005453868933845,0.0005442255297721,824832,1414661
