departamento,municipio,departamento_nombre,municipio_nombre,total_votos_mmv,votos_validos,ABELARDO DE LA ESPRIELLA,CARLOS CAICEDO,CLAUDIA LOPEZ,GUSTAVO MATAMORROS,IVAN CEPEDA,LUIS GILBERTO MURILLO,MAURICIO LIZCANO,MIGUEL URIBE,NO MARCADOS,PALOMA VALENCIA,ROY BARRERAS,SANTIAGO BOTERO,SERGIO FAJARDO,SONDRA MACOLLINS,VOTO EN BLANCO,VOTO NULO,votos_abelardo,votos_cepeda,margen_abelardo_vs_cepeda,ganador_2v_base,margen_abs,margen_pp_validos,voto_blanco,voto_nulo,no_marcados,abstencion_estimada,bolsa_indefinida,score_disputa,score_oportunidad,potencial
19,7,HUILA,AGRADO,4795,4740,3022,2,20,1,1086,3,140,8,9,238,1,64,80,2,73,46,3022,1086,1936,ABELARDO DE LA ESPRIELLA,1936,0.4084388185654008,73,46,9,3349.0,3477.0,0.20227576857999421,1.6493996400285216,8144.0
19,10,HUILA,AIPE,9266,9162,4851,4,59,1,3058,1,16,11,16,690,3,146,150,14,158,88,4851,3058,1793,ABELARDO DE LA ESPRIELLA,1793,0.1956996289019864,158,88,16,7058.0,7320.0,0.44350731032734086,3.9465507809422817,16324.0
19,13,HUILA,ALGECIRAS,9648,9438,5261,7,87,2,2710,9,25,36,57,748,22,133,139,26,233,153,5261,2710,2551,ABELARDO DE LA ESPRIELLA,2551,0.2702903157448612,233,153,57,8818.0,9261.0,0.3265401909089236,2.982512071930387,18466.0
19,16,HUILA,ALTAMIRA,2020,2007,1075,1,10,0,772,1,1,3,1,55,0,18,37,1,33,12,1075,772,303,ABELARDO DE LA ESPRIELLA,303,0.1509715994020926,33,12,1,1557.0,1603.0,0.4724370329336964,3.486706146975935,3577.0
19,19,HUILA,BARAYA,3392,3275,2084,0,15,1,802,5,3,6,85,232,2,47,38,2,38,32,2084,802,1282,ABELARDO DE LA ESPRIELLA,1282,0.3914503816793893,38,32,85,2996.0,3151.0,0.20162836590444153,1.6242762679559835,6388.0
19,22,HUILA,CAMPOALEGRE,15578,15201,7645,6,80,2,5665,9,36,32,42,899,11,199,261,15,341,335,7645,5665,1980,ABELARDO DE LA ESPRIELLA,1980,0.1302545885139135,341,335,42,10601.0,11319.0,0.686550249738942,6.408484087943674,26179.0
19,25,HUILA,TESALIA (CARNICERIAS),5531,5438,3825,3,35,2,968,2,5,7,14,316,3,64,107,2,99,79,3825,968,2857,ABELARDO DE LA ESPRIELLA,2857,0.5253769768297168,99,79,14,3304.0,3496.0,0.16065970095233895,1.3109286538891436,8835.0
19,28,HUILA,COLOMBIA,3518,3495,2382,1,13,0,604,1,4,7,10,334,3,43,50,3,50,13,2382,604,1778,ABELARDO DE LA ESPRIELLA,1778,0.5087267525035766,50,13,10,3344.0,3417.0,0.15729620069516595,1.2798894346313139,6862.0
19,31,HUILA,ELIAS,2310,2289,1482,2,11,1,508,2,6,2,6,162,2,24,48,5,34,15,1482,508,974,ABELARDO DE LA ESPRIELLA,974,0.4255133245958934,34,15,6,1652.0,1707.0,0.17763651901412417,1.3221625331685765,3962.0
19,34,HUILA,GARZON,37216,36725,21897,23,210,19,10038,19,63,40,77,2277,30,433,936,46,694,414,21897,10038,11859,ABELARDO DE LA ESPRIELLA,11859,0.3229135466303608,694,414,77,23875.0,25060.0,0.3157348307532202,3.1980996123081535,61091.0
19,37,HUILA,GIGANTE,12022,11851,7006,6,86,2,3264,3,16,11,27,837,12,179,220,15,194,144,7006,3264,3742,ABELARDO DE LA ESPRIELLA,3742,0.3157539448147836,194,144,27,8718.0,9083.0,0.28795512864861417,2.624500762521476,20740.0
19,40,HUILA,GUADALUPE,8156,8048,5302,5,46,1,1650,2,13,22,18,501,8,139,195,11,153,90,5302,1650,3652,ABELARDO DE LA ESPRIELLA,3652,0.4537773359840954,153,90,18,6636.0,6897.0,0.19391424378275668,1.7140054398667026,14792.0
19,43,HUILA,HOBO,3568,3513,1901,2,23,1,1153,4,8,2,8,198,3,97,43,4,74,47,1901,1153,748,ABELARDO DE LA ESPRIELLA,748,0.2129234272701395,74,47,8,2833.0,2962.0,0.3662472970529588,2.9277653445549174,6401.0
19,44,HUILA,ISNOS,13431,13164,6223,8,66,4,5078,10,36,33,63,839,9,234,245,23,356,204,6223,5078,1145,ABELARDO DE LA ESPRIELLA,1145,0.0869796414463688,356,204,63,9312.0,9935.0,0.9780730192919855,9.002105632189041,22743.0
19,46,HUILA,IQUIRA,4744,4681,2119,3,20,0,1937,1,6,16,11,373,4,60,54,6,82,52,2119,1937,182,ABELARDO DE LA ESPRIELLA,182,0.0388805810724204,82,52,11,3163.0,3308.0,1.729005765199339,14.012556584885532,7907.0
19,47,HUILA,LA ARGENTINA (PLATA VIEJA),6975,6863,3918,0,26,1,2210,4,8,10,30,332,9,54,98,9,184,82,3918,2210,1708,ABELARDO DE LA ESPRIELLA,1708,0.2488707562290543,184,82,30,5999.0,6295.0,0.34125313225226755,2.985169715779219,12974.0
19,49,HUILA,LA PLATA,26887,26435,14671,9,160,3,7829,20,50,60,108,2122,26,366,524,41,554,344,14671,7829,6842,ABELARDO DE LA ESPRIELLA,6842,0.2588235294117647,554,344,108,20245.0,21251.0,0.37877941781627106,3.774236256607308,47132.0
19,50,HUILA,NATAGA,2878,2823,1268,0,26,1,899,3,9,13,14,446,4,40,30,5,79,41,1268,899,369,ABELARDO DE LA ESPRIELLA,369,0.130712008501594,79,41,14,2530.0,2664.0,0.5646930694279103,4.454275969307166,5408.0
19,51,HUILA,OPORAPA,5505,5466,3870,2,15,2,808,4,2,9,9,462,2,73,114,7,96,30,3870,808,3062,ABELARDO DE LA ESPRIELLA,3062,0.5601902671057446,96,30,9,3633.0,3768.0,0.15094058589567055,1.24293006467972,9138.0
19,52,HUILA,PAICOL,3518,3489,2560,1,9,0,569,1,5,3,11,215,0,35,50,1,40,18,2560,569,1991,ABELARDO DE LA ESPRIELLA,1991,0.5706506162224133,40,18,11,1962.0,2031.0,0.14049166206467525,1.0700934929380455,5480.0
19,55,HUILA,PALERMO,13021,12869,7265,4,57,12,4008,6,20,22,24,806,9,167,264,11,218,128,7265,4008,3257,ABELARDO DE LA ESPRIELLA,3257,0.2530888180899837,218,128,24,9369.0,9739.0,0.35967527503786506,3.3032564299070235,22390.0
19,56,HUILA,PALESTINA,6010,5919,3491,11,28,2,1583,4,8,7,25,446,6,87,85,14,147,66,3491,1583,1908,ABELARDO DE LA ESPRIELLA,1908,0.3223517486061835,147,66,25,4362.0,4600.0,0.261352370321678,2.204253457484785,10372.0
19,58,HUILA,PITAL,6205,6153,3926,2,23,1,1380,2,10,14,13,326,6,252,122,6,83,39,3926,1380,2546,ABELARDO DE LA ESPRIELLA,2546,0.4137818950105639,83,39,13,4395.0,4530.0,0.20588084716701965,1.7332486648913177,10600.0
19,61,HUILA,PITALITO,65462,64710,34502,40,321,29,21913,34,94,102,124,3611,27,823,1865,85,1264,628,34502,21913,12589,ABELARDO DE LA ESPRIELLA,12589,0.1945448925977437,1264,628,124,48749.0,50765.0,0.5415772714148986,5.8679800513782805,114211.0
19,64,HUILA,RIVERA,12595,12402,6181,2,69,4,4708,2,16,15,20,726,23,116,298,14,228,173,6181,4708,1473,ABELARDO DE LA ESPRIELLA,1473,0.1187711659409772,228,173,20,7783.0,8204.0,0.7319723782058195,6.59690032918718,20378.0
19,67,HUILA,SALADOBLANCO,6342,6283,4668,5,19,3,1028,7,17,10,22,307,4,56,61,9,89,37,4668,1028,3640,ABELARDO DE LA ESPRIELLA,3640,0.5793410791023397,89,37,22,4518.0,4666.0,0.14839898845498262,1.2537149812917625,10860.0
19,70,HUILA,SAN AGUSTIN,15796,15610,8483,11,108,4,5217,6,20,38,51,996,15,144,241,31,296,135,8483,5217,3266,ABELARDO DE LA ESPRIELLA,3266,0.2092248558616271,296,135,51,11874.0,12356.0,0.44044873629892056,4.149898296094493,27670.0
19,74,HUILA,SANTA MARIA,5222,5171,3457,2,23,1,824,4,12,17,12,586,7,55,104,9,70,39,3457,824,2633,ABELARDO DE LA ESPRIELLA,2633,0.5091858441307291,70,39,12,3686.0,3807.0,0.16470046008686312,1.3579321358580803,8908.0
19,76,HUILA,SUAZA,9179,9072,6145,4,30,1,2001,3,14,18,22,395,9,163,142,7,140,85,6145,2001,4144,ABELARDO DE LA ESPRIELLA,4144,0.4567901234567901,140,85,22,7403.0,7650.0,0.19522817196052367,1.7458458179262408,16582.0
19,79,HUILA,TARQUI,7663,7588,5038,2,23,0,1693,3,15,9,18,457,8,62,131,4,143,57,5038,1693,3345,ABELARDO DE LA ESPRIELLA,3345,0.4408276225619399,143,57,18,5520.0,5738.0,0.1981789638050937,1.715246910043286,13183.0
19,82,HUILA,TELLO,5824,5744,3536,5,30,0,1432,3,15,16,14,440,4,70,71,10,112,66,3536,1432,2104,ABELARDO DE LA ESPRIELLA,2104,0.3662952646239554,112,66,14,5336.0,5528.0,0.23003439065153197,1.9823816871161235,11160.0
