departamento,municipio,partido,candidato,votos,codigo_candidato,nombre_candidato,tipo_registro,estado_primera_vuelta,bloque_referencia_2v,departamento_nombre,municipio_nombre,potencial,puestos,mesas,total_votos_mmv,votos_validos,pct_validos,pct_total_mmv,abstencion_estimada
1,25,1003,4,1816,4,ABELARDO DE LA ESPRIELLA,CANDIDATO,PASA_A_SEGUNDA,ABELARDO,ANTIOQUIA,ANGOSTURA,9462.0,4,28.0,3667,3478,0.5221391604370328,0.4952277065721298,5795.0
1,25,1004,2,33,2,CLAUDIA LOPEZ,CANDIDATO,ELIMINADO,CEPEDA,ANTIOQUIA,ANGOSTURA,9462.0,4,28.0,3667,3478,0.0094882116158711,0.0089991818925552,5795.0
1,25,1005,13,0,13,LUIS GILBERTO MURILLO,CANDIDATO,ELIMINADO,CEPEDA,ANTIOQUIA,ANGOSTURA,9462.0,4,28.0,3667,3478,0.0,0.0,5795.0
1,25,1006,9,3,9,CARLOS CAICEDO,CANDIDATO,ELIMINADO,CEPEDA,ANTIOQUIA,ANGOSTURA,9462.0,4,28.0,3667,3478,0.0008625646923519,0.0008181074447777,5795.0
1,25,3001,5,21,5,MAURICIO LIZCANO,CANDIDATO,ELIMINADO,CEPEDA,ANTIOQUIA,ANGOSTURA,9462.0,4,28.0,3667,3478,0.0060379528464634,0.0057267521134442,5795.0
1,28,0,996,143,996,VOTO EN BLANCO,VOTO_EN_BLANCO,NO_APLICA,INDEFINIDO,ANTIOQUIA,ANORI,13703.0,8,43.0,3813,3758,0.0380521554018094,0.037503278258589,9890.0
1,28,0,997,26,997,VOTO NULO,VOTO_NULO,NO_APLICA,INDEFINIDO,ANTIOQUIA,ANORI,13703.0,8,43.0,3813,3758,,0.006818777865198,9890.0
1,28,0,998,29,998,NO MARCADOS,NO_MARCADO,NO_APLICA,INDEFINIDO,ANTIOQUIA,ANORI,13703.0,8,43.0,3813,3758,,0.007605559926567,9890.0
1,28,9,11,215,11,PALOMA VALENCIA,CANDIDATO,ELIMINADO,ABELARDO,ANTIOQUIA,ANORI,13703.0,8,43.0,3813,3758,0.0572112825971261,0.056386047731445,9890.0
1,28,15,12,152,12,SERGIO FAJARDO,CANDIDATO,ELIMINADO,DIVIDIDO,ANTIOQUIA,ANORI,13703.0,8,43.0,3813,3758,0.040447046301224,0.039863624442696,9890.0
1,28,20,6,14,6,MIGUEL URIBE,CANDIDATO,ELIMINADO,ABELARDO,ANTIOQUIA,ANORI,13703.0,8,43.0,3813,3758,0.0037253858435337,0.003671649619722,9890.0
1,28,21,10,2,10,GUSTAVO MATAMORROS,CANDIDATO,ELIMINADO,INCIERTO,ANTIOQUIA,ANORI,13703.0,8,43.0,3813,3758,0.0005321979776476,0.000524521374246,9890.0
1,28,22,8,8,8,ROY BARRERAS,CANDIDATO,ELIMINADO,CEPEDA,ANTIOQUIA,ANORI,13703.0,8,43.0,3813,3758,0.0021287919105907,0.002098085496984,9890.0
1,28,26,1,1275,1,IVAN CEPEDA,CANDIDATO,PASA_A_SEGUNDA,CEPEDA,ANTIOQUIA,ANORI,13703.0,8,43.0,3813,3758,0.3392762107503991,0.3343823760818253,9890.0
1,28,1001,3,99,3,SANTIAGO BOTERO,CANDIDATO,ELIMINADO,INCIERTO,ANTIOQUIA,ANORI,13703.0,8,43.0,3813,3758,0.0263437998935604,0.025963808025177,9890.0
1,28,1002,7,10,7,SONDRA MACOLLINS,CANDIDATO,ELIMINADO,INCIERTO,ANTIOQUIA,ANORI,13703.0,8,43.0,3813,3758,0.0026609898882384,0.00262260687123,9890.0
1,28,1003,4,1811,4,ABELARDO DE LA ESPRIELLA,CANDIDATO,PASA_A_SEGUNDA,ABELARDO,ANTIOQUIA,ANORI,13703.0,8,43.0,3813,3758,0.4819052687599787,0.4749541043797535,9890.0
1,28,1004,2,10,2,CLAUDIA LOPEZ,CANDIDATO,ELIMINADO,CEPEDA,ANTIOQUIA,ANORI,13703.0,8,43.0,3813,3758,0.0026609898882384,0.00262260687123,9890.0
1,28,1005,13,0,13,LUIS GILBERTO MURILLO,CANDIDATO,ELIMINADO,CEPEDA,ANTIOQUIA,ANORI,13703.0,8,43.0,3813,3758,0.0,0.0,9890.0
1,28,1006,9,5,9,CARLOS CAICEDO,CANDIDATO,ELIMINADO,CEPEDA,ANTIOQUIA,ANORI,13703.0,8,43.0,3813,3758,0.0013304949441192,0.001311303435615,9890.0
1,28,3001,5,14,5,MAURICIO LIZCANO,CANDIDATO,ELIMINADO,CEPEDA,ANTIOQUIA,ANORI,13703.0,8,43.0,3813,3758,0.0037253858435337,0.003671649619722,9890.0
1,31,0,996,318,996,VOTO EN BLANCO,VOTO_EN_BLANCO,NO_APLICA,INDEFINIDO,ANTIOQUIA,ANTIOQUIA,24438.0,7,75.0,12290,12060,0.0263681592039801,0.0258746948738812,12148.0
1,31,0,997,160,997,VOTO NULO,VOTO_NULO,NO_APLICA,INDEFINIDO,ANTIOQUIA,ANTIOQUIA,24438.0,7,75.0,12290,12060,,0.0130187144019528,12148.0
1,31,0,998,70,998,NO MARCADOS,NO_MARCADO,NO_APLICA,INDEFINIDO,ANTIOQUIA,ANTIOQUIA,24438.0,7,75.0,12290,12060,,0.0056956875508543,12148.0
1,31,9,11,1673,11,PALOMA VALENCIA,CANDIDATO,ELIMINADO,ABELARDO,ANTIOQUIA,ANTIOQUIA,24438.0,7,75.0,12290,12060,0.1387230514096185,0.136126932465419,12148.0
1,31,15,12,574,12,SERGIO FAJARDO,CANDIDATO,ELIMINADO,DIVIDIDO,ANTIOQUIA,ANTIOQUIA,24438.0,7,75.0,12290,12060,0.0475953565505804,0.0467046379170056,12148.0
1,31,20,6,38,6,MIGUEL URIBE,CANDIDATO,ELIMINADO,ABELARDO,ANTIOQUIA,ANTIOQUIA,24438.0,7,75.0,12290,12060,0.0031509121061359,0.0030919446704637,12148.0
1,31,21,10,2,10,GUSTAVO MATAMORROS,CANDIDATO,ELIMINADO,INCIERTO,ANTIOQUIA,ANTIOQUIA,24438.0,7,75.0,12290,12060,0.0001658374792703,0.0001627339300244,12148.0
1,31,22,8,5,8,ROY BARRERAS,CANDIDATO,ELIMINADO,CEPEDA,ANTIOQUIA,ANTIOQUIA,24438.0,7,75.0,12290,12060,0.0004145936981757,0.000406834825061,12148.0
1,31,26,1,3261,1,IVAN CEPEDA,CANDIDATO,PASA_A_SEGUNDA,CEPEDA,ANTIOQUIA,ANTIOQUIA,24438.0,7,75.0,12290,12060,0.2703980099502487,0.2653376729048006,12148.0
1,31,1001,3,174,3,SANTIAGO BOTERO,CANDIDATO,ELIMINADO,INCIERTO,ANTIOQUIA,ANTIOQUIA,24438.0,7,75.0,12290,12060,0.0144278606965174,0.0141578519121236,12148.0
1,31,1002,7,14,7,SONDRA MACOLLINS,CANDIDATO,ELIMINADO,INCIERTO,ANTIOQUIA,ANTIOQUIA,24438.0,7,75.0,12290,12060,0.0011608623548922,0.0011391375101708,12148.0
1,31,1003,4,5907,4,ABELARDO DE LA ESPRIELLA,CANDIDATO,PASA_A_SEGUNDA,ABELARDO,ANTIOQUIA,ANTIOQUIA,24438.0,7,75.0,12290,12060,0.4898009950248756,0.4806346623270952,12148.0
1,31,1004,2,57,2,CLAUDIA LOPEZ,CANDIDATO,ELIMINADO,CEPEDA,ANTIOQUIA,ANTIOQUIA,24438.0,7,75.0,12290,12060,0.0047263681592039,0.0046379170056956,12148.0
1,31,1005,13,9,13,LUIS GILBERTO MURILLO,CANDIDATO,ELIMINADO,CEPEDA,ANTIOQUIA,ANTIOQUIA,24438.0,7,75.0,12290,12060,0.0007462686567164,0.0007323026851098,12148.0
1,31,1006,9,9,9,CARLOS CAICEDO,CANDIDATO,ELIMINADO,CEPEDA,ANTIOQUIA,ANTIOQUIA,24438.0,7,75.0,12290,12060,0.0007462686567164,0.0007323026851098,12148.0
1,31,3001,5,19,5,MAURICIO LIZCANO,CANDIDATO,ELIMINADO,CEPEDA,ANTIOQUIA,ANTIOQUIA,24438.0,7,75.0,12290,12060,0.0015754560530679,0.0015459723352318,12148.0
1,34,0,996,47,996,VOTO EN BLANCO,VOTO_EN_BLANCO,NO_APLICA,INDEFINIDO,ANTIOQUIA,ANZA,6689.0,3,20.0,2953,2901,0.0162013098931402,0.0159160176092109,3736.0
1,34,0,997,23,997,VOTO NULO,VOTO_NULO,NO_APLICA,INDEFINIDO,ANTIOQUIA,ANZA,6689.0,3,20.0,2953,2901,,0.0077886894683372,3736.0
1,34,0,998,29,998,NO MARCADOS,NO_MARCADO,NO_APLICA,INDEFINIDO,ANTIOQUIA,ANZA,6689.0,3,20.0,2953,2901,,0.0098205215035557,3736.0
1,34,9,11,463,11,PALOMA VALENCIA,CANDIDATO,ELIMINADO,ABELARDO,ANTIOQUIA,ANZA,6689.0,3,20.0,2953,2901,0.1596001378834884,0.1567897053843548,3736.0
1,34,15,12,65,12,SERGIO FAJARDO,CANDIDATO,ELIMINADO,DIVIDIDO,ANTIOQUIA,ANZA,6689.0,3,20.0,2953,2901,0.0224060668734919,0.0220115137148662,3736.0
1,34,20,6,12,6,MIGUEL URIBE,CANDIDATO,ELIMINADO,ABELARDO,ANTIOQUIA,ANZA,6689.0,3,20.0,2953,2901,0.0041365046535677,0.0040636640704368,3736.0
1,34,21,10,0,10,GUSTAVO MATAMORROS,CANDIDATO,ELIMINADO,INCIERTO,ANTIOQUIA,ANZA,6689.0,3,20.0,2953,2901,0.0,0.0,3736.0
1,34,22,8,7,8,ROY BARRERAS,CANDIDATO,ELIMINADO,CEPEDA,ANTIOQUIA,ANZA,6689.0,3,20.0,2953,2901,0.0024129610479145,0.0023704707077548,3736.0
1,34,26,1,400,1,IVAN CEPEDA,CANDIDATO,PASA_A_SEGUNDA,CEPEDA,ANTIOQUIA,ANZA,6689.0,3,20.0,2953,2901,0.1378834884522578,0.1354554690145614,3736.0
1,34,1001,3,60,3,SANTIAGO BOTERO,CANDIDATO,ELIMINADO,INCIERTO,ANTIOQUIA,ANZA,6689.0,3,20.0,2953,2901,0.0206825232678386,0.0203183203521842,3736.0
1,34,1002,7,9,7,SONDRA MACOLLINS,CANDIDATO,ELIMINADO,INCIERTO,ANTIOQUIA,ANZA,6689.0,3,20.0,2953,2901,0.0031023784901758,0.0030477480528276,3736.0
1,34,1003,4,1811,4,ABELARDO DE LA ESPRIELLA,CANDIDATO,PASA_A_SEGUNDA,ABELARDO,ANTIOQUIA,ANZA,6689.0,3,20.0,2953,2901,0.6242674939675974,0.613274635963427,3736.0
1,34,1004,2,11,2,CLAUDIA LOPEZ,CANDIDATO,ELIMINADO,CEPEDA,ANTIOQUIA,ANZA,6689.0,3,20.0,2953,2901,0.003791795932437,0.0037250253979004,3736.0
1,34,1005,13,5,13,LUIS GILBERTO MURILLO,CANDIDATO,ELIMINADO,CEPEDA,ANTIOQUIA,ANZA,6689.0,3,20.0,2953,2901,0.0017235436056532,0.001693193362682,3736.0
1,34,1006,9,1,9,CARLOS CAICEDO,CANDIDATO,ELIMINADO,CEPEDA,ANTIOQUIA,ANZA,6689.0,3,20.0,2953,2901,0.0003447087211306,0.0003386386725364,3736.0
1,34,3001,5,10,5,MAURICIO LIZCANO,CANDIDATO,ELIMINADO,CEPEDA,ANTIOQUIA,ANZA,6689.0,3,20.0,2953,2901,0.0034470872113064,0.003386386725364,3736.0
1,35,0,996,1389,996,VOTO EN BLANCO,VOTO_EN_BLANCO,NO_APLICA,INDEFINIDO,ANTIOQUIA,APARTADO,109813.0,11,323.0,54916,54380,0.0255424788525193,0.0252931750309563,54897.0
1,35,0,997,403,997,VOTO NULO,VOTO_NULO,NO_APLICA,INDEFINIDO,ANTIOQUIA,APARTADO,109813.0,11,323.0,54916,54380,,0.0073384805885352,54897.0
1,35,0,998,133,998,NO MARCADOS,NO_MARCADO,NO_APLICA,INDEFINIDO,ANTIOQUIA,APARTADO,109813.0,11,323.0,54916,54380,,0.0024218806905091,54897.0
1,35,9,11,2067,11,PALOMA VALENCIA,CANDIDATO,ELIMINADO,ABELARDO,ANTIOQUIA,APARTADO,109813.0,11,323.0,54916,54380,0.038010297903641,0.0376393036637774,54897.0
1,35,15,12,1385,12,SERGIO FAJARDO,CANDIDATO,ELIMINADO,DIVIDIDO,ANTIOQUIA,APARTADO,109813.0,11,323.0,54916,54380,0.0254689223979404,0.0252203365139485,54897.0
1,35,20,6,38,6,MIGUEL URIBE,CANDIDATO,ELIMINADO,ABELARDO,ANTIOQUIA,APARTADO,109813.0,11,323.0,54916,54380,0.0006987863184994,0.000691965911574,54897.0
1,35,21,10,7,10,GUSTAVO MATAMORROS,CANDIDATO,ELIMINADO,INCIERTO,ANTIOQUIA,APARTADO,109813.0,11,323.0,54916,54380,0.000128723795513,0.0001274674047636,54897.0
1,35,22,8,25,8,ROY BARRERAS,CANDIDATO,ELIMINADO,CEPEDA,ANTIOQUIA,APARTADO,109813.0,11,323.0,54916,54380,0.000459727841118,0.0004552407312987,54897.0
1,35,26,1,32102,1,IVAN CEPEDA,CANDIDATO,PASA_A_SEGUNDA,CEPEDA,ANTIOQUIA,APARTADO,109813.0,11,323.0,54916,54380,0.5903273262228761,0.5845655182460485,54897.0
1,35,1001,3,340,3,SANTIAGO BOTERO,CANDIDATO,ELIMINADO,INCIERTO,ANTIOQUIA,APARTADO,109813.0,11,323.0,54916,54380,0.0062522986392055,0.0061912739456624,54897.0
1,35,1002,7,43,7,SONDRA MACOLLINS,CANDIDATO,ELIMINADO,INCIERTO,ANTIOQUIA,APARTADO,109813.0,11,323.0,54916,54380,0.000790731886723,0.0007830140578337,54897.0
1,35,1003,4,16661,4,ABELARDO DE LA ESPRIELLA,CANDIDATO,PASA_A_SEGUNDA,ABELARDO,ANTIOQUIA,APARTADO,109813.0,11,323.0,54916,54380,0.3063810224347186,0.3033906329667128,54897.0
1,35,1004,2,164,2,CLAUDIA LOPEZ,CANDIDATO,ELIMINADO,CEPEDA,ANTIOQUIA,APARTADO,109813.0,11,323.0,54916,54380,0.0030158146377344,0.0029863791973195,54897.0
