territorio,indicador,periodo_fecha,periodo_label,tipo_eleccion,anio,valor,fuente,orden
RISARALDA,Potencial,2006-03-01,CONGRESO 2006,Congreso,2006,601944,Histórico 2006-2026,1
RISARALDA,Sufragantes,2006-03-01,CONGRESO 2006,Congreso,2006,242015,Histórico 2006-2026,1
RISARALDA,Votos válidos,2006-03-01,CONGRESO 2006,Congreso,2006,190966,Histórico 2006-2026,1
RISARALDA,Votos por candidatos,2006-03-01,CONGRESO 2006,Congreso,2006,184317,Histórico 2006-2026,1
RISARALDA,Voto en blanco,2006-03-01,CONGRESO 2006,Congreso,2006,6649,Histórico 2006-2026,1
RISARALDA,Votos nulos,2006-03-01,CONGRESO 2006,Congreso,2006,39275,Histórico 2006-2026,1
RISARALDA,Votos no marcados,2006-03-01,CONGRESO 2006,Congreso,2006,11774,Histórico 2006-2026,1
SAN ANDRES,Potencial,2006-03-01,CONGRESO 2006,Congreso,2006,40282,Histórico 2006-2026,1
SAN ANDRES,Sufragantes,2006-03-01,CONGRESO 2006,Congreso,2006,19270,Histórico 2006-2026,1
SAN ANDRES,Votos válidos,2006-03-01,CONGRESO 2006,Congreso,2006,16425,Histórico 2006-2026,1
SAN ANDRES,Votos por candidatos,2006-03-01,CONGRESO 2006,Congreso,2006,16048,Histórico 2006-2026,1
SAN ANDRES,Voto en blanco,2006-03-01,CONGRESO 2006,Congreso,2006,377,Histórico 2006-2026,1
SAN ANDRES,Votos nulos,2006-03-01,CONGRESO 2006,Congreso,2006,2036,Histórico 2006-2026,1
SAN ANDRES,Votos no marcados,2006-03-01,CONGRESO 2006,Congreso,2006,809,Histórico 2006-2026,1
SANTANDER,Potencial,2006-03-01,CONGRESO 2006,Congreso,2006,1297430,Histórico 2006-2026,1
SANTANDER,Sufragantes,2006-03-01,CONGRESO 2006,Congreso,2006,580681,Histórico 2006-2026,1
SANTANDER,Votos válidos,2006-03-01,CONGRESO 2006,Congreso,2006,487544,Histórico 2006-2026,1
SANTANDER,Votos por candidatos,2006-03-01,CONGRESO 2006,Congreso,2006,471427,Histórico 2006-2026,1
SANTANDER,Voto en blanco,2006-03-01,CONGRESO 2006,Congreso,2006,16117,Histórico 2006-2026,1
SANTANDER,Votos nulos,2006-03-01,CONGRESO 2006,Congreso,2006,75313,Histórico 2006-2026,1
SANTANDER,Votos no marcados,2006-03-01,CONGRESO 2006,Congreso,2006,17824,Histórico 2006-2026,1
SUCRE,Potencial,2006-03-01,CONGRESO 2006,Congreso,2006,509098,Histórico 2006-2026,1
SUCRE,Sufragantes,2006-03-01,CONGRESO 2006,Congreso,2006,278790,Histórico 2006-2026,1
SUCRE,Votos válidos,2006-03-01,CONGRESO 2006,Congreso,2006,240300,Histórico 2006-2026,1
SUCRE,Votos por candidatos,2006-03-01,CONGRESO 2006,Congreso,2006,237353,Histórico 2006-2026,1
SUCRE,Voto en blanco,2006-03-01,CONGRESO 2006,Congreso,2006,2947,Histórico 2006-2026,1
SUCRE,Votos nulos,2006-03-01,CONGRESO 2006,Congreso,2006,28632,Histórico 2006-2026,1
SUCRE,Votos no marcados,2006-03-01,CONGRESO 2006,Congreso,2006,9858,Histórico 2006-2026,1
TOLIMA,Potencial,2006-03-01,CONGRESO 2006,Congreso,2006,858945,Histórico 2006-2026,1
TOLIMA,Sufragantes,2006-03-01,CONGRESO 2006,Congreso,2006,348214,Histórico 2006-2026,1
TOLIMA,Votos válidos,2006-03-01,CONGRESO 2006,Congreso,2006,288819,Histórico 2006-2026,1
TOLIMA,Votos por candidatos,2006-03-01,CONGRESO 2006,Congreso,2006,280768,Histórico 2006-2026,1
TOLIMA,Voto en blanco,2006-03-01,CONGRESO 2006,Congreso,2006,8051,Histórico 2006-2026,1
TOLIMA,Votos nulos,2006-03-01,CONGRESO 2006,Congreso,2006,47308,Histórico 2006-2026,1
TOLIMA,Votos no marcados,2006-03-01,CONGRESO 2006,Congreso,2006,12087,Histórico 2006-2026,1
VALLE,Potencial,2006-03-01,CONGRESO 2006,Congreso,2006,2697357,Histórico 2006-2026,1
VALLE,Sufragantes,2006-03-01,CONGRESO 2006,Congreso,2006,922824,Histórico 2006-2026,1
VALLE,Votos válidos,2006-03-01,CONGRESO 2006,Congreso,2006,754823,Histórico 2006-2026,1
VALLE,Votos por candidatos,2006-03-01,CONGRESO 2006,Congreso,2006,733219,Histórico 2006-2026,1
VALLE,Voto en blanco,2006-03-01,CONGRESO 2006,Congreso,2006,21604,Histórico 2006-2026,1
VALLE,Votos nulos,2006-03-01,CONGRESO 2006,Congreso,2006,145424,Histórico 2006-2026,1
VALLE,Votos no marcados,2006-03-01,CONGRESO 2006,Congreso,2006,22577,Histórico 2006-2026,1
VAUPES,Potencial,2006-03-01,CONGRESO 2006,Congreso,2006,15188,Histórico 2006-2026,1
VAUPES,Sufragantes,2006-03-01,CONGRESO 2006,Congreso,2006,7639,Histórico 2006-2026,1
VAUPES,Votos válidos,2006-03-01,CONGRESO 2006,Congreso,2006,7174,Histórico 2006-2026,1
VAUPES,Votos por candidatos,2006-03-01,CONGRESO 2006,Congreso,2006,7128,Histórico 2006-2026,1
VAUPES,Voto en blanco,2006-03-01,CONGRESO 2006,Congreso,2006,46,Histórico 2006-2026,1
VAUPES,Votos nulos,2006-03-01,CONGRESO 2006,Congreso,2006,252,Histórico 2006-2026,1
VAUPES,Votos no marcados,2006-03-01,CONGRESO 2006,Congreso,2006,213,Histórico 2006-2026,1
VICHADA,Potencial,2006-03-01,CONGRESO 2006,Congreso,2006,30279,Histórico 2006-2026,1
VICHADA,Sufragantes,2006-03-01,CONGRESO 2006,Congreso,2006,10565,Histórico 2006-2026,1
VICHADA,Votos válidos,2006-03-01,CONGRESO 2006,Congreso,2006,9428,Histórico 2006-2026,1
VICHADA,Votos por candidatos,2006-03-01,CONGRESO 2006,Congreso,2006,9292,Histórico 2006-2026,1
VICHADA,Voto en blanco,2006-03-01,CONGRESO 2006,Congreso,2006,136,Histórico 2006-2026,1
VICHADA,Votos nulos,2006-03-01,CONGRESO 2006,Congreso,2006,787,Histórico 2006-2026,1
VICHADA,Votos no marcados,2006-03-01,CONGRESO 2006,Congreso,2006,350,Histórico 2006-2026,1
AMAZONAS,Potencial,2006-05-01,PRESIDENCIA 2006,Presidencia 1V,2006,30402,Histórico 2006-2026,2
AMAZONAS,Sufragantes,2006-05-01,PRESIDENCIA 2006,Presidencia 1V,2006,12140,Histórico 2006-2026,2
AMAZONAS,Votos válidos,2006-05-01,PRESIDENCIA 2006,Presidencia 1V,2006,11897,Histórico 2006-2026,2
AMAZONAS,Votos por candidatos,2006-05-01,PRESIDENCIA 2006,Presidencia 1V,2006,11764,Histórico 2006-2026,2
AMAZONAS,Voto en blanco,2006-05-01,PRESIDENCIA 2006,Presidencia 1V,2006,133,Histórico 2006-2026,2
AMAZONAS,Votos nulos,2006-05-01,PRESIDENCIA 2006,Presidencia 1V,2006,117,Histórico 2006-2026,2
AMAZONAS,Votos no marcados,2006-05-01,PRESIDENCIA 2006,Presidencia 1V,2006,126,Histórico 2006-2026,2
ANTIOQUIA,Potencial,2006-05-01,PRESIDENCIA 2006,Presidencia 1V,2006,3400976,Histórico 2006-2026,2
ANTIOQUIA,Sufragantes,2006-05-01,PRESIDENCIA 2006,Presidencia 1V,2006,1587158,Histórico 2006-2026,2
